KPI_DON_Code,NSO_DON_name,NSO_ZON_name,iso_3,iso_2,lat,long,admission_date
DSZ001,Baphalali Swaziland Red Cross Society,Africa,SWZ,SZ,,,
DTD001,Red Cross of Chad,Africa,TCD,TD,,,
DTG001,Togolese Red Cross,Africa,TGO,TG,,,
DTH001,The Thai Red Cross Society,Asia Pacific,THA,TH,,,
DTJ001,Red Crescent Society of Tajikistan,Europe and Central Asia,TJK,TJ,,,
DTL001,Timor-Leste Red Cross Society,Asia Pacific,#N/A,#N/A,#N/A,#N/A,
DTM001,Red Crescent Society of Turkmenistan,Europe and Central Asia,TKM,TM,,,
DTN001,Tunisian Red Crescent,Middle East and North Africa,TUN,TN,,,
DTO001,Tonga Red Cross Society,Asia Pacific,TON,TO,,,
DTR001,Turkish Red Crescent Society,Europe and Central Asia,TUR,TR,,,
DTT001,The Trinidad and Tobago Red Cross Society,Americas,TTO,TT,,,
DTZ001,Tanzania Red Cross National Society,Africa,TZA,TZ,,,
DUA001,Ukrainian Red Cross Society,Europe and Central Asia,UKR,UA,,,
DUG001,The Uganda Red Cross Society,Africa,UGA,UG,,,
DUS001,American Red Cross,Americas,USA,US,,,
DUY001,Uruguayan Red Cross,Americas,URY,UY,,,
DUZ001,Red Crescent Society of Uzbekistan,Europe and Central Asia,UZB,UZ,,,
DVC001,Saint Vincent and the Grenadines Red Cross,Americas,VCT,VC,,,
DVE001,Venezuelan Red Cross,Americas,VEN,VE,,,
DVN001,Vietnam Red Cross Society,Asia Pacific,#N/A,#N/A,#N/A,#N/A,
DVU001,Vanuatu Red Cross Society,Asia Pacific,VUT,VU,,,
DWS001,Samoa Red Cross Society,Asia Pacific,WSM,WS,,,
DYE001,Yemen Red Crescent Society,Middle East and North Africa,YEM,YE,,,
DZA001,The South African Red Cross Society,Africa,ZAF,ZA,,,
DZM001,Zambia Red Cross Society,Africa,ZMB,ZM,,,
DZW001,Zimbabwe Red Cross Society,Africa,ZWE,ZW,,,
